nama,harga,tipe_review,kata_kunci
Ready or Not,260100.00000000006,Very Positive,"Tactical,Realistic,FPS,Shooter,Multiplayer,Co-op,Singleplayer,First-Person,Horror,Action,Violent,Gun Customization,Combat,Crime,Modern,Gore,Atmospheric,America,Co-op Campaign,Psychological Horror"
Ale & Tale Tavern,94350.0,Very Positive,"Adventure,Simulation,Online Co-Op,Cooking,Fantasy,Action,First-Person,Management,Sandbox,Co-op,3D,Casual,Indie,Economy,Building,Exploration,Family Friendly,Action-Adventure,Party Game,Singleplayer"
Visions of Mana,260100.00000000006,Very Positive,"RPG,JRPG,Party-Based RPG,Action RPG,3D,Cute,Action,Lore-Rich,Story Rich,Colorful,Fantasy,Anime,Magic,Class-Based,Atmospheric,Adventure,Singleplayer,Old School,Open World"
Street Fighter™ 6,260100.00000000006,Very Positive,"2D Fighter,Fighting,Character Customization,Action,Arcade,Multiplayer,Adventure,Competitive,PvP,eSports,Open World,Singleplayer,Local Multiplayer,Controller,3D,Action RPG,Great Soundtrack,Martial Arts,Sandbox,3D Fighter"
Cult of the Lamb,194850.0,Overwhelmingly Positive,"Base Building,Cute,Action Roguelike,Singleplayer,Character Customization,Dungeon Crawler,Roguelite,Dark Humor,Colony Sim,Building,2D,Adventure,Action,Funny,Faith,Fantasy,Controller,Colorful,Strategy,Third Person"
Green Hell,42000.0,Very Positive,"Open World Survival Craft,Survival,Multiplayer,Online Co-Op,Open World,Crafting,Action,Base Building,Singleplayer,Adventure,Co-op,Exploration,Sandbox,First-Person,Simulation,Survival Horror,Atmospheric,Building,Realistic,Action-Adventure"
Harry Potter: Quidditch Champions,260100.00000000006,Mostly Positive,"Action,Sports,Flight,Arcade,Third Person,Magic,Supernatural,PvP,Character Customization,PvE,Team-Based,Co-op,Multiplayer,Online Co-Op,Singleplayer,Fantasy,Competitive,LGBTQ+,Villain Protagonist,Political"
Call of Duty®: Black Ops III,225420.00000000006,Very Positive,"Multiplayer,Zombies,FPS,Shooter,Action,First-Person,Singleplayer,Co-op,Futuristic,Illuminati,Hero Shooter,Robots,Sci-fi,Gore,Great Soundtrack,Story Rich,Atmospheric,Parkour,Quick-Time Events,Simulation"
ARK: Bob's Tall Tales,260100.00000000006,Mixed,"Survival,Adventure,Open World,Action,Dinosaurs,Multiplayer,Building,Massively Multiplayer,Crafting,Base Building,Sandbox,Character Customization,PvE,PvP,Singleplayer,Inventory Management,RPG,Sci-fi,Fantasy,Moddable"
Palworld,157350.0,Very Positive,"Open World,Multiplayer,Survival,Creature Collector,Open World Survival Craft,Crafting,Co-op,Adventure,Sandbox,Third-Person Shooter,Automation,Action,Early Access,RPG,Anime,PvE,3D,Indie,Looter Shooter,Hack and Slash"
Monster Hunter: World,225420.00000000006,Very Positive,"Co-op,Multiplayer,Action,Open World,RPG,Character Customization,Third Person,Adventure,Fantasy,Difficult,Action RPG,Singleplayer,Exploration,Great Soundtrack,Replay Value,Atmospheric,Hack and Slash,JRPG,MMORPG,Souls-like"
Assassin's Creed® Odyssey,114269.99999999999,Very Positive,"Open World,RPG,Singleplayer,Historical,Action,Assassin,Third Person,Adventure,Mythology,Stealth,Multiple Endings,Story Rich,Female Protagonist,Parkour,Exploration,Choices Matter,Action RPG,Action-Adventure,Multiplayer,Choose Your Own Adventure"
Escape the Backrooms,65850.0,Very Positive,"Horror,Multiplayer,Online Co-Op,Psychological Horror,Co-op,Survival Horror,First-Person,Exploration,Escape Room,Adventure,Action,VR,3D,Singleplayer,Early Access,Action-Adventure,Indie,Casual,Stealth,Dungeon Crawler"
Crime Scene Cleaner,119850.0,Overwhelmingly Positive,"Crime,Simulation,Gore,Singleplayer,First-Person,Mature,Action,Adventure,Atmospheric,Funny,Realistic,Exploration,Stealth,Indie,Life Sim,Walking Simulator,Hacking,Heist,Great Soundtrack,Violent"
Cyberpunk 2077: Phantom Liberty,224850.0,Very Positive,"RPG,Sexual Content,Open World,Cyberpunk,Story Rich,Nudity,Violent,Gore,Atmospheric,Singleplayer,First-Person,FPS,Character Customization,Action RPG,Action,Choices Matter,Shooter,Horror,Great Soundtrack,Stealth"
Call of Duty®,120865.53923463472,Mixed,"FPS,Multiplayer,Shooter,Action,Singleplayer,Military,First-Person,War,Modern,Tactical,Violent,Co-op,Realistic,Story Rich,Atmospheric,Mature,Online Co-Op,Gore,Third-Person Shooter,Third Person"
HITMAN World of Assassination,157350.0,Very Positive,"Stealth,Assassin,Action,Singleplayer,VR,Sandbox,Violent,Shooter,Third-Person Shooter,Third Person,Adventure,Realistic,Cinematic,Puzzle,Funny,Gore,Multiplayer,Open World,Immersive Sim,Capitalism"
Sniper Elite 5,71850.0,Very Positive,"Singleplayer,Action,World War II,Stealth,Sniper,Multiplayer,Shooter,Co-op,Third-Person Shooter,Adventure,Gore,Action-Adventure,Violent,Third Person,Open World,Online Co-Op,War,FPS,Gun Customization,Sexual Content"
Total War: WARHAMMER III,260100.00000000006,Mixed,"Strategy,Turn-Based Strategy,Grand Strategy,RTS,Fantasy,Real Time Tactics,Dark Fantasy,War,Action,Tactical,Atmospheric,Games Workshop,Dwarf,Multiplayer,Colorful,Co-op,PvP,Singleplayer,Story Rich,Warhammer 40K"
SMITE 2,260100.00000000006,Mixed,"Action,MOBA,Third Person,Strategy,Adventure,Casual,Mythology,RPG,Competitive,Massively Multiplayer,Team-Based,MMORPG,PvP,Multiplayer,God Game,Online Co-Op,Co-op,Combat,Action-Adventure,Open World"
Assassin's Creed® Origins,85670.0,Very Positive,"Open World,Assassin,Action,RPG,Stealth,Adventure,Parkour,Historical,Singleplayer,Third Person,Story Rich,Action RPG,Exploration,Multiplayer,Atmospheric,Great Soundtrack,Heist,Nudity,Sexual Content,Co-op"
Assassin's Creed Valhalla,164850.0,Mostly Positive,"Action,Open World,RPG,Adventure,Sexual Content,Singleplayer,Multiplayer,Nudity,Vikings,Action-Adventure,Third Person,Violent,Stealth,Action RPG,Assassin,Story Rich,Gore,Historical,Female Protagonist,LGBTQ+"
Bodycam,179850.0,Mostly Positive,"FPS,Realistic,Shooter,Military,PvP,First-Person,Immersive Sim,Strategy,Stealth,Survival,3D,Action,Surreal,Simulation,Action-Adventure,Open World,Multiplayer,Tactical,Combat,VR"
FOR HONOR™,49350.0,Mixed,"Medieval,Swordplay,Action,Multiplayer,Fighting,PvP,Third Person,War,Co-op,Gore,Singleplayer,Online Co-Op,Hack and Slash,Realistic,Strategy,Atmospheric,RPG,Fantasy,MOBA,Story Rich"
Atomic Heart,260100.00000000006,Very Positive,"Sexual Content,Horror,FPS,Puzzle,Mystery,Singleplayer,Robots,Action,Shooter,Sci-fi,First-Person,Open World,Action-Adventure,Exploration,Alternate History,Gore,Atmospheric,Action RPG,Cyberpunk,RPG"
Monster Hunter World: Iceborne,260100.00000000006,Mixed,"Action,Multiplayer,Co-op,Open World,Hunting,Difficult,Third Person,Singleplayer,Adventure,Online Co-Op,RPG,Character Customization,Exploration,Dragons,Hack and Slash,Story Rich,PvE,JRPG,Souls-like,Dinosaurs"
Terraria,49410.0,Overwhelmingly Positive,"Open World Survival Craft,Sandbox,Survival,2D,Multiplayer,Adventure,Pixel Graphics,Crafting,Building,Exploration,Co-op,Open World,Online Co-Op,Indie,Action,RPG,Singleplayer,Replay Value,Platformer,Atmospheric"
Sekiro™: Shadows Die Twice - GOTY Edition,260100.00000000006,Overwhelmingly Positive,"Souls-like,Difficult,Action,Singleplayer,Ninja,Stealth,Adventure,Third Person,Open World,Story Rich,Violent,Atmospheric,Assassin,Dark Fantasy,Hack and Slash,RPG,Gore,Great Soundtrack,Rhythm,Dark"
The Elder Scrolls V: Skyrim Special Edition,225420.00000000006,Very Positive,"Open World,RPG,Adventure,Singleplayer,Fantasy,Character Customization,Moddable,Dragons,Story Rich,Magic,First-Person,Action,Atmospheric,Great Soundtrack,Third Person,Stealth,Classic,Remake,Female Protagonist,Walking Simulator"
Hades II,157350.0,Very Positive,"Action,Roguelike,RPG,Roguelite,Hack and Slash,Action Roguelike,Action RPG,Dungeon Crawler,Mythology,Isometric,Hand-drawn,Souls-like,Story Rich,Atmospheric,Singleplayer,Female Protagonist,Indie,Perma Death,Early Access,Difficult"
Squirrel with a Gun,110550.0,Very Positive,"Action,Simulation,Third-Person Shooter,Sandbox,Shooter,Platformer,Action-Adventure,3D Platformer,Collectathon,Exploration,Shoot 'Em Up,3D,Cartoony,Cute,America,Third Person,Comedy,Funny,Memes,Conspiracy"
Risk of Rain 2: Survivors of the Void,68100.0,Very Positive,"Action,Indie,Co-op,Great Soundtrack,Multiplayer,Roguelike,Third-Person Shooter,Looter Shooter,Action Roguelike,Survival,Difficult,Arcade,Singleplayer,Sci-fi,Roguelite,Funny"
Borderlands 3,260100.00000000006,Very Positive,"RPG,Looter Shooter,Multiplayer,FPS,Action,Loot,Online Co-Op,Open World,Co-op,Shooter,Singleplayer,Co-op Campaign,Gore,First-Person,Violent,Adventure,Nudity,Comedy,Great Soundtrack,Epic"
Black Myth: Wukong Deluxe Edition Upgrade,150000.0,Very Positive,"Mythology,Action,Action RPG,RPG,Souls-like,Combat,Story Rich,Dark Fantasy,Drama,Singleplayer,Action-Adventure,Adventure,Atmospheric,Hack and Slash,3D,Fantasy,FPS,Hentai,Nudity,Violent"
Dead Island 2,260100.00000000006,Mostly Positive,"Co-op,Zombies,Gore,First-Person,Action-Adventure,Post-apocalyptic,Adventure,Horror,Dark,Action RPG,Crafting,FPS,Controller,Dark Humor,Action,PvE,Character Customization,Combat,Hack and Slash,Survival Horror"
Hogwarts Legacy,260100.00000000006,Very Positive,"Magic,Fantasy,Open World,Singleplayer,Adventure,RPG,Character Customization,Exploration,Story Rich,Third Person,Action-Adventure,Atmospheric,Action RPG,Action,Combat,Choices Matter,Puzzle,Great Soundtrack,Dark,Family Friendly"
ARK: Survival Evolved,90870.0,Very Positive,"Open World Survival Craft,Survival,Multiplayer,Open World,Dinosaurs,Crafting,Building,Adventure,Base Building,Co-op,Action,First-Person,Sandbox,Massively Multiplayer,Singleplayer,Early Access,RPG,Dragons,Sci-fi,Indie"
Call of Duty®: Modern Warfare® III,260100.00000000006,Mostly Negative,"Action,FPS,Multiplayer,Singleplayer,Shooter,Military,First-Person,PvP,War,Modern,Co-op,Tactical,Violent,Online Co-Op,Gore,Story Rich,Realistic,Combat,Open World,PvE"
EARTH DEFENSE FORCE 6,260100.00000000006,Mixed,"Action,Third-Person Shooter,Shooter,3D,Online Co-Op,Sci-fi,PvE,Singleplayer,Multiplayer,Co-op,Local Co-Op,Local Multiplayer,Violent,Gore,Mechs,Anime"
Dome Keeper,58350.0,Very Positive,"Singleplayer,Post-apocalyptic,Roguelike,Action,Sci-fi,Combat,Resource Management,Atmospheric,Space,Procedural Generation,Physics,Retro,Replay Value,Exploration,Pixel Graphics,Controller,Tower Defense,2D,Tactical,Adventure"
TEKKEN 8,260100.00000000006,Mostly Positive,"Fighting,Action,3D Fighter,Multiplayer,eSports,Local Multiplayer,Arcade,PvP,Singleplayer,Competitive,Casual,Great Soundtrack,Character Customization,Anime,Martial Arts,Difficult,Story Rich,Controller,Sexual Content,Psychological Horror"
Backrooms: Escape Together,53850.0,Very Positive,"Psychological Horror,Multiplayer,Survival Horror,Online Co-Op,Early Access,Horror,Atmospheric,Co-op,Realistic,Casual,Procedural Generation,First-Person,Adventure,Exploration,Action,3D,Singleplayer,Action-Adventure,Sci-fi,Puzzle"
Resident Evil 4,260100.00000000006,Overwhelmingly Positive,"Horror,Action,Survival Horror,Third-Person Shooter,Singleplayer,Zombies,Story Rich,Survival,Cinematic,Dark,Realistic,Remake,Gore,Resource Management,Adventure,Third Person,Psychological Horror,3D,Violent,Action-Adventure"
Aliens: Fireteam Elite,86100.0,Very Positive,"Co-op,Shooter,Aliens,Action,Horror,Third-Person Shooter,Character Customization,Online Co-Op,Survival,Sci-fi,Survival Horror,Space,Atmospheric,RPG,Third Person,Multiplayer,PvE,Controller,Singleplayer,Co-op Campaign"
Castlevania Dominus Collection,260100.00000000006,Overwhelmingly Positive,"Action,Metroidvania,Action RPG,2D Platformer,Action-Adventure,RPG,Exploration,Dark Fantasy,Vampire,Retro,Pixel Graphics,Platformer,Singleplayer,2D,Horror,Demons,Magic,Controller,Violent,Female Protagonist"
Tiny Tina's Wonderlands,168600.0,Mostly Positive,"Loot,Adventure,Multiplayer,Shooter,Looter Shooter,RPG,FPS,Fantasy,Action,Online Co-Op,Comedy,Co-op,Singleplayer,Character Customization,Narration,Stylized,PvE,Class-Based,Local Co-Op,3D"
MONSTER HUNTER RISE,260100.00000000006,Very Positive,"Action,RPG,Hunting,Online Co-Op,Multiplayer,Character Customization,Action RPG,Co-op,Singleplayer,Third Person,JRPG,PvE,Fantasy,Anime,3D,Dragons,Nature,Atmospheric,Open World,Ninja"
Dead by Daylight - Castlevania Chapter,78600.0,Very Positive,"Action,Gore,Violent"
Grand Theft Auto IV: The Complete Edition,67350.0,Very Positive,"Open World,Action,Automobile Sim,Multiplayer,Crime,Third Person,Adventure,Singleplayer,Third-Person Shooter,Sandbox,Moddable,Shooter,Physics,Atmospheric,Classic,Funny,Dark Humor,Gore,Satire,Co-op"
Terminator: Resistance,82350.0,Very Positive,"FPS,Post-apocalyptic,Choices Matter,Open World,Sci-fi,RPG,First-Person,Singleplayer,Story Rich,Robots,Multiple Endings,Action,Atmospheric,Futuristic,Crafting,Adventure,Violent,Shooter,Great Soundtrack,Cinematic"
Call of Duty®: Modern Warfare® III - BlackCell (Season 5),260100.00000000006,Mixed,"FPS,Multiplayer,Action,Shooter,Singleplayer,Military,First-Person,War,Modern,Tactical,Violent,Co-op,Realistic,Story Rich,Atmospheric,Mature,Online Co-Op,Gore,Third-Person Shooter,Third Person"
Fallout 4,168870.0,Very Positive,"Open World,Post-apocalyptic,Singleplayer,Exploration,RPG,Adventure,Atmospheric,Shooter,First-Person,Story Rich,Action,Sci-fi,FPS,Action RPG,Sandbox,Great Soundtrack,Third Person,Survival,Third-Person Shooter,Character Customization"
Contraband Police,121649.99999999999,Overwhelmingly Positive,"Open World,First-Person,Action,Simulation,Singleplayer,Multiple Endings,Realistic,1980s,Automobile Sim,FPS,Story Rich,Management,Survival,Immersive Sim,Detective,Action-Adventure,Physics,Destruction,Atmospheric,Indie"
Hell Let Loose,260100.00000000006,Very Positive,"Shooter,Realistic,FPS,World War II,Multiplayer,War,Singleplayer,Action,Military,Tactical,Simulation,First-Person,Massively Multiplayer,Gore,Historical,PvP,Strategy,Mature,Violent,Indie"
THE KING OF FIGHTERS XV,86850.0,Very Positive,"2D Fighter,Fighting,Action,Multiplayer,PvP,3D,Singleplayer,Anime,Arcade,Competitive,Sexual Content,Great Soundtrack,2.5D,Local Multiplayer,Nudity,Female Protagonist,Character Customization"
God of War,260100.00000000006,Overwhelmingly Positive,"Action,Singleplayer,Story Rich,Adventure,Mythology,Combat,Third Person,RPG,Hack and Slash,Violent,Open World,Fantasy,Exploration,Atmospheric,Gore,Action RPG,Emotional,Souls-like,3D,PvE"
Grand Theft Auto: San Andreas – The Definitive Edition,260100.00000000006,Mostly Positive,"Action,Open World,Sexual Content,Third-Person Shooter,Crime,Adventure,Action-Adventure,Violent,Nudity,Third Person,Singleplayer,1990's,Combat,Gore,Mature,Story Rich,Classic,Psychological Horror,Memes,Sandbox"
Aliens: Dark Descent,260100.00000000006,Very Positive,"Strategy,Action,Tactical,RTS,Sci-fi,Singleplayer,Real Time Tactics,Aliens,Dark,Action-Adventure,3D,Survival,Space,Horror,Top-Down,Violent,Combat,Stealth,Isometric,Top-Down Shooter"
Starcom: Unknown Space,101850.0,Very Positive,"Space,Exploration,Open World,Action RPG,Indie,Story Rich,Space Sim,Sci-fi,RPG,Action,Top-Down Shooter,Combat,Action-Adventure,Building,Aliens,Lore-Rich,Adventure,Singleplayer,Atmospheric,2D"
Deep Rock Galactic,157350.0,Overwhelmingly Positive,"Dwarf,Co-op,PvE,FPS,Procedural Generation,Class-Based,Shooter,Exploration,First-Person,Loot,Sci-fi,Space,Action,Atmospheric,Looter Shooter,Combat,Survival,Horror,Dark,Action Roguelike"
Borderlands 2,134910.0,Overwhelmingly Positive,"Loot,Shooter,Action,Multiplayer,Co-op,Looter Shooter,FPS,RPG,First-Person,Funny,Comedy,Open World,Combat,Online Co-Op,Adventure,Action RPG,Dark Humor,Singleplayer,Memes,Sci-fi"
Valheim,122849.99999999999,Very Positive,"Open World Survival Craft,Survival,Online Co-Op,Open World,Multiplayer,Building,Crafting,Exploration,Base Building,Co-op,Difficult,Adventure,Mythology,Action,PvE,Sandbox,Early Access,Singleplayer,Third Person,Indie"
GUILTY GEAR -STRIVE-,260100.00000000006,Very Positive,"Fighting,2D Fighter,Great Soundtrack,Anime,PvP,2.5D,Arcade,Lore-Rich,Action,Multiplayer,2D,Story Rich,3D,Local Multiplayer,Fantasy,Combat,Cinematic,Drama,LGBTQ+,Casual"
Kingdom Come: Deliverance,225420.00000000006,Very Positive,"Medieval,RPG,Open World,Singleplayer,Realistic,Historical,Story Rich,First-Person,Adventure,Swordplay,Nudity,Action,Choices Matter,Choose Your Own Adventure,Atmospheric,Horses,Action RPG,Indie,Kickstarter,Crowdfunded"
The Outlast Trials,194850.0,Very Positive,"Horror,Multiplayer,Co-op,Survival Horror,Psychological Horror,First-Person,PvE,Character Customization,Stealth,Action-Adventure,Action,Survival,Dark Humor,Dark,Alternate History,Realistic,Atmospheric,Science,Adventure,Management"
V Rising,179850.0,Very Positive,"Survival,Open World,Base Building,Vampire,Multiplayer,Crafting,Online Co-Op,PvP,PvE,Building,Hack and Slash,Sandbox,Exploration,Massively Multiplayer,Action,Action-Adventure,Singleplayer,Dark Fantasy,Adventure,Co-op"
