nama,harga,tipe_review,kata_kunci
The Witcher: Enhanced Edition Director's Cut,89910.0,Very Positive,"RPG,Fantasy,Story Rich,Mature,Singleplayer,Choices Matter,Action,Third Person,Nudity,Adventure,Dark Fantasy,Based On A Novel,Atmospheric,Open World,Great Soundtrack,Medieval,Multiple Endings,Action RPG,Magic,Classic"
Hunt: Showdown 1896 - The Wolf at the Door,89850.0,Very Positive,"Action,Gore,Violent,Horror,Co-op,Team-Based,Hunting,Western,Zombies,FPS,Perma Death,Shooter,PvP,First-Person,Online Co-Op,Multiplayer,Dark,Battle Royale,Atmospheric,Blood"
Judge Dredd: Dredd vs. Death,28710.0,Very Positive,"Action,FPS,Cyberpunk,First-Person,Classic,Singleplayer,Sci-fi,Shooter,Comic Book,Gore,Dystopian ,Story Rich,Multiplayer"
Elite Dangerous: Odyssey,68100.0,Mostly Negative,"Early Access,Simulation,Massively Multiplayer,Adventure,Action,RPG,Space Sim,Strategy,Space,Sci-fi,Open World,First-Person,Exploration,Multiplayer,FPS,Psychological Horror,Walking Simulator,Singleplayer,Sandbox,VR"
Taboo Trial,104850.0,Very Positive,"Female Protagonist,RPG,Sexual Content,Nudity,Action Roguelike,Indie,Action,Roguelite,Hack and Slash,Third Person,3D,Adventure,Singleplayer,Fantasy,Roguelike,Combat,Action RPG,Action-Adventure,3D Platformer,Anime"
F.E.A.R. 2: Project Origin,134910.0,Very Positive,"Horror,FPS,Action,Gore,Singleplayer,Shooter,Multiplayer,Psychological Horror,Bullet Time,First-Person,Atmospheric,Co-op,Jump Scare,Sci-fi,Classic,Violent,Story Rich,Nudity,Sequel,Survival Horror"
Alien Hominid Invasion,122849.99999999999,Very Positive,"Online Co-Op,Multiplayer,Action Roguelike,Shoot 'Em Up,Singleplayer,Casual,Arcade,Beat 'em up,RPG,Nonlinear,Action,Local Multiplayer,Side Scroller,Co-op,PvE,Procedural Generation,Cartoony,Aliens,Platformer,Cute"
Battlefield V - Premium Starter Pack,260100.00000000006,Mostly Positive,"Action,Violent,War"
Predator: Hunting Grounds,260100.00000000006,Mostly Positive,"Multiplayer,FPS,PvP,Shooter,Character Customization,First-Person,3D,Action,Controller,Gun Customization,Third Person,Military,Realistic,Sci-fi,Stealth,Tactical,Survival,Aliens,Cinematic,Combat"
Overgrowth,106470.0,Very Positive,"Action,Parkour,Indie,Martial Arts,Sandbox,Fighting,Fast-Paced,Moddable,Physics,Gore,Combat,Open World,Ninja,Third Person,Multiplayer,Singleplayer,Difficult,Funny,Adventure,Local Co-Op"
SpyParty,110370.0,Very Positive,"Multiplayer,Strategy,Detective,Stealth,Indie,Early Access,Action,Simulation,Mystery,Assassin,Competitive,Social Deduction,Co-op,Sniper,Singleplayer"
Into The Flames,122849.99999999999,Very Positive,"Simulation,Action,Casual,Multiplayer,Indie,Third Person,Sandbox,Early Access,Third-Person Shooter,FPS,Immersive Sim,First-Person,Driving,America,Education,Family Friendly,Modern,Open World,PvE,Tutorial"
Dome Keeper: Assessor Gear Pack,26850.0,Positive,"Action,Indie"
The Division 2 - One time offer Wrapped Pack (2024),260100.00000000006,Mixed,"Action,Adventure,RPG,Violent"
Sniper Elite VR,62850.00000000001,Mixed,"Action,Adventure,VR,FPS,Shooter,Action-Adventure,Singleplayer,First-Person,Sniper,Gore,Violent,World War II,Stealth"
Absolver,136370.0,Mostly Positive,"Fighting,Martial Arts,Action,Multiplayer,PvP,Open World,Adventure,Indie,PvE,Online Co-Op,RPG,Character Customization,Difficult,Singleplayer,Co-op,Swordplay,MMORPG,Massively Multiplayer,Souls-like,Atmospheric"
Children of the Sun,104850.0,Very Positive,"Action,Strategy,Arcade,Shooter,Real Time Tactics,Third-Person Shooter,3D,Psychedelic,Stylized,Indie,Assassin,Third Person,Dark,Puzzle,Atmospheric,Singleplayer,Female Protagonist,Tactical,Sniper,Horror"
Like a Dragon: Ishin!,260100.00000000006,Very Positive,"Action,Adventure,Beat 'em up,Action-Adventure,JRPG,Hack and Slash,Singleplayer,Violent,Historical,Story Rich,Gore,Great Soundtrack,Open World,Sexual Content,Funny,Action RPG,Nudity,Minigames,Martial Arts,Comedy"
Orcs Must Die! 2,18810.0,Very Positive,"Tower Defense,Co-op,Action,Strategy,Online Co-Op,Indie,RPG,Third Person,Multiplayer,Adventure,Third-Person Shooter,Comedy,Singleplayer,Cartoony,Shooter,Fantasy,Female Protagonist,Controller,Funny,Great Soundtrack"
Swords and Sandals Classic Collection,82350.0,Very Positive,"Strategy,RPG,Turn-Based Combat,Action,Turn-Based,Casual,Replay Value,Local Multiplayer,2D,Board Game,Adventure,Comedy,Singleplayer,Funny,Gore,Multiplayer,Roguelike,Strategy RPG,Medieval,Hack and Slash"
Microsoft Flight Simulator X: Steam Edition,110370.0,Very Positive,"Flight,Simulation,Realistic,Open World,Multiplayer,Singleplayer,Moddable,Adventure,First-Person,Atmospheric,VR,Action,Difficult,Massively Multiplayer,Co-op,Military,Third Person,Strategy,Local Multiplayer,Sandbox"
Atomicrops,31349.999999999996,Very Positive,"Action,Indie,Farming Sim,Bullet Hell,Roguelike,Action Roguelike,Roguelite,Pixel Graphics,Twin Stick Shooter,Survival,Simulation,Colorful,Agriculture,Combat,Gun Customization,Perma Death,Open World,Singleplayer,PvE,Cats"
Rogue Trooper Redux,16510.0,Mostly Positive,"Action,Adventure,Third-Person Shooter,Co-op,Comic Book,Sci-fi,Violent"
S.T.A.L.K.E.R.: Call of Pripyat,73710.0,Overwhelmingly Positive,"Atmospheric,Open World,Post-apocalyptic,FPS,Survival,Action,Singleplayer,RPG,Shooter,Survival Horror,First-Person,Moddable,Horror,Zombies,Classic,Sci-fi,Adventure,Multiplayer,Immersive,Sandbox"
Hunt: Showdown 1896 - Live by the Blade,89850.0,Very Positive,"Action,Multiplayer,PvP,Perma Death,Zombies,FPS,Horror,Co-op,Shooter,Western,Team-Based,Blood"
Hunt: Showdown 1896 - Crossroads,89850.0,Very Positive,"Action,Online Co-Op,Zombies,Horror,Perma Death,Shooter,PvP,Western,Survival Horror,Singleplayer,Violent,Team-Based,Female Protagonist,Blood,Atmospheric"
MEGA MAN X DiVE Offline,260100.00000000006,Very Positive,"Action,2D,Side Scroller,Singleplayer,RPG,Action RPG,Sci-fi,1990's,Robots,Retro,Spectacle fighter,PvE,Character Customization,Anime,Platformer"
Sonic Adventure DX,71910.0,Very Positive,"Platformer,3D Platformer,Great Soundtrack,Adventure,Classic,Singleplayer,Action,Fast-Paced,Third Person,Retro,Open World,Family Friendly,3D,Replay Value,1990's,Controller,Story Rich,Memes,Moddable,Racing"
GUILTY GEAR Xrd REV 2,136370.0,Very Positive,"Fighting,Anime,2D Fighter,Great Soundtrack,Action,Multiplayer,2.5D,Local Multiplayer,Difficult,Arcade,Story Rich,Controller,Competitive,eSports,Singleplayer,Tutorial,2D,Cute,PvP"
Ghostrunner - Project_Hel,149850.0,Very Positive,"Action,Adventure,Violent,Gore,Parkour,Cyberpunk,Difficult,Fast-Paced,Hack and Slash,Fighting,Singleplayer,Action-Adventure,First-Person,Sci-fi,Combat,Post-apocalyptic,Futuristic,Story Rich,Swordplay,Science"
Titanfall® 2: Prime Titan Bundle,260100.00000000006,Very Positive,"Action,Gore,Violent,Shooter"
Need for Speed™ Rivals,260100.00000000006,Mostly Positive,"Racing,Driving,Open World,Multiplayer,Combat Racing,PvP,Arcade,Action,First-Person,Third Person,Sports,Atmospheric,Adventure,Singleplayer,Co-op,Destruction,Online Co-Op,Split Screen,War,Psychological Horror"
Aooni,74850.0,Mostly Positive,"RPG,Horror,Singleplayer,2D,Roguelite,Indie,JRPG,Adventure,Action,Controller,RPGMaker,Survival Horror"
Hunt: Showdown 1896 – Frau Perchta,134850.0,Mixed,"Action,Gore,Violent"
Call of Duty®: Modern Warfare® II - Griffin: Pro Pack,260100.00000000006,Positive,"Action,Gore,Violent"
Battle Realms: Zen Edition,82350.0,Very Positive,"Strategy,Action,RTS,Early Access,Classic,Multiplayer,Fantasy,Fast-Paced"
Sherlock Holmes: The Devil's Daughter,225420.00000000006,Very Positive,"Adventure,Detective,Mystery,Story Rich,Puzzle,Crime,Thriller,Singleplayer,Third Person,Action,Atmospheric,Investigation,Point & Click,Choices Matter,First-Person,Action-Adventure,3D,Casual,Controller,Multiplayer"
Hunt: Showdown 1896 - The Revenant,62850.00000000001,Very Positive,"Action,Gore,Violent,Team-Based,Western,Zombies,Shooter,PvP,Online Co-Op,Horror,Perma Death"
Dome Keeper: Engineer Gear Pack,14400.0,Very Positive,"Indie,Action"
Granblue Fantasy: Versus,122849.99999999999,Very Positive,"Action,Anime,Fighting,2D Fighter,PvP,Competitive,Multiplayer,RPG,Fantasy,Sexual Content,Great Soundtrack,Arcade,Local Multiplayer,Singleplayer,Cute,Female Protagonist,JRPG"
Pistol Whip,157350.0,Very Positive,"VR,Action,Rhythm,Shooter,Arcade,Indie,On-Rails Shooter,Level Editor,FPS,Music,Bullet Hell,Bullet Time,First-Person,Assassin,Singleplayer,Soundtrack,Colorful,Gun Customization,Post-apocalyptic,Cyberpunk"
Yakuza 4 Remastered,260100.00000000006,Very Positive,"Action,Adventure,Beat 'em up,Open World,RPG,Action RPG,Third Person,Story Rich,Crime,Drama,Comedy,Violent,Singleplayer,Sexual Content,Funny,JRPG,Combat,Anime,Great Soundtrack"
Easy Red 2: Normandy,74850.0,Very Positive,"Action,Indie,Simulation,Strategy,Gore,Violent,World War II,War,Wargame,Singleplayer,Historical,Shooter,FPS,Sandbox,Multiplayer,Atmospheric,Realistic,Team-Based,Immersive Sim"
Heretic's Fork,82350.0,Very Positive,"Deckbuilding,Tower Defense,Arcade,Strategy,Action,Card Game,2D,Roguelike Deckbuilder,Bullet Hell,Tactical,Roguelite,Singleplayer,Top-Down,Roguelike,Perma Death,Pixel Graphics,Arena Shooter,Demons,Auto Battler,Casual"
Five Nights at Freddy's: Help Wanted - Curse of Dreadbear,82350.0,Very Positive,"Action,Casual,Horror,VR,Singleplayer,Survival Horror,Robots,Strategy,Survival,Dark,First-Person,Psychological Horror,Jump Scare,Indie"
Spiritfall,85950.0,Very Positive,"Action Roguelike,2D Fighter,2D Platformer,Roguelite,Hack and Slash,Difficult,Platformer,Roguelike,RPG,2D,Controller,Procedural Generation,Action,Cartoony,Fantasy,Cartoon,Singleplayer,Fighting,Combat,Survival"
SUCCUBUS,127350.0,Mostly Positive,"Sexual Content,Nudity,Mature,Gore,Female Protagonist,Violent,Demons,Action,Singleplayer,Horror,Dark Fantasy,Adventure,First-Person,Atmospheric,Exploration,Survival,Psychological Horror,Survival Horror,Action-Adventure,Psychedelic"
Space Engineers - Warfare 2,22350.0,Very Positive,"Indie,Simulation,Action,Strategy"
Yakuza 3 Remastered,260100.00000000006,Very Positive,"Action,Adventure,Open World,Beat 'em up,Story Rich,RPG,Action RPG,Third Person,Crime,Drama,JRPG,Violent,Comedy,Sexual Content,Singleplayer,Funny,Combat,Anime,Great Soundtrack,Action-Adventure"
Age of Water,260100.00000000006,Mixed,"Naval,Post-apocalyptic,Open World,Crafting,Action,Massively Multiplayer,Pirates,Action-Adventure,MMORPG,Shooter,Exploration,Third-Person Shooter,3D,Colorful,Stylized,Third Person,Character Customization,PvE,PvP,Multiplayer"
V Rising - Dracula's Relics Pack,82350.0,Very Positive,"Adventure,Action,Massively Multiplayer"
Lost Planet™: Extreme Condition,30960.0,Mostly Positive,"Action,Adventure,Mechs,Third-Person Shooter,Sci-fi,Shooter,Third Person,Robots,Multiplayer,Atmospheric,Co-op,Singleplayer,Snow,Aliens,Classic"
Halo Wars: Definitive Edition,106470.0,Very Positive,"Strategy,RTS,Base Building,Multiplayer,Sci-fi,Singleplayer,War,Military,Action,Co-op,Great Soundtrack,Simulation,Aliens,Sandbox,Tactical,Online Co-Op,Classic,Story Rich,Shooter,Atmospheric"
Sniper Elite,8550.0,Mostly Positive,"Action,Sniper,Stealth,World War II,Singleplayer,Third-Person Shooter,Multiplayer,Shooter,Third Person,War,FPS,Classic,Co-op,Controller,Tactical,Simulation,Open World,Cold War"
Call of Duty® (2003),89910.0,Very Positive,"FPS,World War II,Action,Classic,Singleplayer,Multiplayer,Shooter,War,Military,First-Person,Historical,Atmospheric,Linear,America,Story Rich,Old School,Realistic,Difficult,Co-op,Nostalgia"
Remnant: From the Ashes - Subject 2923,37050.0,Mixed,"RPG,Action,Adventure,Violent,Souls-like"
Dead Island: Riptide Definitive Edition,29120.000000000004,Mostly Positive,"Zombies,Co-op,Multiplayer,Open World,Action,Survival,Gore,First-Person,Horror,Adventure,Online Co-Op,Survival Horror,FPS,Singleplayer,Open World Survival Craft,Crafting,Nudity,RPG,Female Protagonist,Sexual Content"
Kingdom Heroes 8,260100.00000000006,Mixed,"RTS,Tactical RPG,Real Time Tactics,War,Strategy RPG,Historical,Grand Strategy,Character Customization,Strategy,City Builder,RPG,2D,3D,Action,Simulation,Realistic,Tactical,Retro,Combat,Singleplayer"
Creeper World 4,127350.0,Overwhelmingly Positive,"Tower Defense,Wargame,Real Time Tactics,Building,Space,RTS,Strategy,3D,Physics,War,Grand Strategy,Top-Down,Story Rich,Action,Simulation,Sci-fi,Tactical,Level Editor,Singleplayer,Multiplayer"
Hyper Light Drifter,225420.00000000006,Very Positive,"Pixel Graphics,Great Soundtrack,Atmospheric,Adventure,Difficult,Indie,Action,Hack and Slash,Singleplayer,Exploration,RPG,2D,Colorful,Top-Down,Post-apocalyptic,Action RPG,Metroidvania,Souls-like,Fantasy,Sci-fi"
Mafia,107910.0,Very Positive,"Action,Story Rich,Crime,Classic,Open World,Atmospheric,Singleplayer,Third Person,Great Soundtrack,Adventure,Violent,Third-Person Shooter,Shooter,Difficult,Cult Classic,Multiplayer,Racing,Drama,Historical,Controller"
Deep Rock Galactic - Dark Future Pack,67350.0,Very Positive,"Action,Dwarf,Indie"
Necrosmith 2,40350.0,Mostly Positive,"Tower Defense,Strategy,Roguelite,Bullet Hell,Real-Time,Management,Simulation,Action,Top-Down,Dark Fantasy,Exploration,Pixel Graphics,Zombies,Combat,Vampire,Tactical,2D,Old School,Magic,Roguelike"
Rubber Bandits,37500.0,Very Positive,"Family Friendly,Party Game,Multiplayer,Cute,Party,Funny,PvP,Co-op,Action,Casual,Destruction,Local Multiplayer,Physics,Heist,Online Co-Op,Beat 'em up,Fighting,Local Co-Op,4 Player Local,Comedy"
STAR WARS™ Jedi Knight - Jedi Academy™,89910.0,Overwhelmingly Positive,"Action,Sci-fi,Third Person,Multiplayer,Classic,Singleplayer,Swordplay,Character Customization,Moddable,FPS,Adventure,Shooter,RPG,First-Person,Third-Person Shooter,Great Soundtrack,Hack and Slash,Fighting,Female Protagonist,Story Rich"
DJMAX RESPECT V - V EXTENSION V PACK,260100.00000000006,Very Positive,"Casual,Sports,Action"
Samurai Jack: Battle Through Time,194850.0,Very Positive,"Action,Adventure,Character Action Game,Hack and Slash,Cartoon,Combat,Platformer,Souls-like,Singleplayer,3D Platformer,Spectacle fighter,Cartoony,Third Person"
GOD EATER 3,260100.00000000006,Very Positive,"Anime,Action,Character Customization,Hack and Slash,Multiplayer,Hunting,Co-op,JRPG,RPG,Online Co-Op,Singleplayer,Action RPG,Third Person,Post-apocalyptic,Great Soundtrack,Story Rich,Adventure,Female Protagonist,Sexual Content,Open World"
Danganronpa Another Episode: Ultra Despair Girls,136370.0,Very Positive,"Anime,Female Protagonist,Action,Third-Person Shooter,Story Rich,Sexual Content,Singleplayer,Great Soundtrack,Visual Novel,Violent,Mature,Nudity,Puzzle,Psychological Horror,Adventure,Horror,Dark,Detective,Survival Horror,Mystery"
Crestfallen: Medieval Survival,104850.0,Mixed,"Survival,Crafting,Adventure,Open World Survival Craft,Multiplayer,Open World,Action,Building,PvP,Sandbox,Third Person,Medieval,Indie,Co-op,Online Co-Op,Simulation,Strategy,Early Access,Fantasy,RPG"
Turbo Overkill,117300.0,Overwhelmingly Positive,"FPS,Boomer Shooter,Action,Shooter,Cyberpunk,Indie,Retro,Fast-Paced,Pixel Graphics,Violent,Gore,Singleplayer,Combat,Great Soundtrack,First-Person,Casual,Arena Shooter,Difficult,Sci-fi,Multiplayer"
Jurassic World Evolution 2: Early Cretaceous Pack,67350.0,Very Positive,"Simulation,Strategy,Action,Dinosaurs,Sequel,Management,Resource Management,Violent,Atmospheric,Singleplayer,Sandbox,Sci-fi,Building,Survival,Open World,City Builder,Economy,Historical"
Serious Sam Classics: Revolution,8100.000000000001,Very Positive,"Action,FPS,Classic,Shooter,Co-op,Indie,First-Person,Old School,Comedy,Multiplayer,Gore,Sci-fi,Remake,Boomer Shooter,Funny,Difficult,Adventure,Split Screen,Atmospheric,Singleplayer"
Barony: Legends & Pariahs,37350.0,Very Positive,"Action,Adventure,RPG,Indie,Violent,Sexual Content"
Volcanoids,122849.99999999999,Very Positive,"Open World Survival Craft,Survival,Open World,Crafting,Exploration,Multiplayer,Online Co-Op,Shooter,Action,First-Person,Steampunk,Adventure,Atmospheric,Base Building,Simulation,Early Access,Co-op,Sandbox,Singleplayer,Building"
Forts - High Seas,82350.0,Mostly Positive,"Strategy,Action,Moddable,Sandbox,Physics,Destruction"
Disney Epic Mickey 2:  The Power of Two,225420.00000000006,Very Positive,"Adventure,Action,Family Friendly,3D Platformer,Cartoon,Platformer,Singleplayer,Local Co-Op,Great Soundtrack,Comedy,Cute,Choices Matter,Cartoony,Horror,Co-op,Puzzle,Dark,World War II,Dark Fantasy,Classic"
Eastward - Octopia,52350.0,Very Positive,"Adventure,RPG,Indie,Action,Casual,Simulation,Pixel Graphics,Farming Sim,Life Sim,Great Soundtrack,2D,Relaxing,Cooking,Fishing,Farming,Cute,Singleplayer,Crafting"
Meet Your Maker,119850.0,Mostly Positive,"Action,Base Building,Strategy,Co-op,First-Person,Building,Asynchronous Multiplayer,FPS,Post-apocalyptic,Shooter,Level Editor,Tactical,Resource Management,Multiplayer,3D,Online Co-Op,Singleplayer,Combat,Gore,Violent"
Breachers™,157350.0,Very Positive,"Action,Shooter,VR,FPS,First-Person,3D,Tactical,Military,PvP,Multiplayer,Combat,Co-op,Online Co-Op,Singleplayer"
Assassin’s Creed® Liberation HD,225420.00000000006,Mixed,"Action,Female Protagonist,Open World,Stealth,Adventure,Third Person,Assassin,Parkour,Singleplayer,Historical,Conspiracy,Exploration,Action-Adventure,Atmospheric,Multiplayer,Controller,Sci-fi"
Resident Evil Revelations,156060.00000000003,Very Positive,"Horror,Action,Zombies,Survival Horror,Third-Person Shooter,Adventure,Female Protagonist,Co-op,Third Person,Singleplayer,Online Co-Op,Multiplayer,Survival,Atmospheric,Shooter,Gore,Sci-fi,Great Soundtrack,Story Rich,Anime"
嗜血印 Bloody Spell DLC 汉服,59850.0,Positive,"Action,Adventure,RPG,Indie"
Metal: Hellsinger - Essential Hits Pack,82350.0,Mixed,"Action,Adventure,Electronic Music,Music,FPS,Fantasy,Rhythm,Shooter,First-Person,Combat,Cinematic,Atmospheric,Singleplayer,3D,Stylized,Dark,Dark Fantasy,Narration,Score Attack,Female Protagonist"
Ys IX: Monstrum Nox,260100.00000000006,Very Positive,"JRPG,Action RPG,Action,Story Rich,RPG,Beautiful,Dark,Fantasy,Colorful,Drama,Anime,Singleplayer,Great Soundtrack,3D,Adventure,Hack and Slash,Open World"
Gujian3(古剑奇谭三),136370.0,Very Positive,"RPG,Story Rich,Martial Arts,Action RPG,Singleplayer,Open World,Action,Fantasy,Third Person,Drama,Hack and Slash,Mythology,Adventure,Souls-like,Great Soundtrack,Anime,Multiplayer,CRPG,Dating Sim,Indie"
Ragnarock,127350.0,Overwhelmingly Positive,"VR,Action,Rhythm,Music,Rock Music,Casual,Multiplayer,Old School,Vikings,Funny,Controller,PvP,4 Player Local,Character Customization,Local Multiplayer,Arcade,Split Screen,Stylized,Mythology,Singleplayer"
Battlefield 1 ™ Shortcut Kit: Ultimate Bundle,260100.00000000006,Mixed,"Action,Violent,World War I"
Brothers in Arms: Earned in Blood™,33210.0,Very Positive,"Action,FPS,World War II,Military,Tactical,Singleplayer,Strategy,War,Co-op,Classic,Simulation,Multiplayer,Realistic,Shooter"
Hunt: Showdown 1896 - The Committed,62850.00000000001,Very Positive,"Action,Violent,Gore,Survival Horror,Shooter,FPS,Perma Death,Team-Based,Co-op,Horror,Zombies,Hunting,Multiplayer,PvP,First-Person,Survival,Battle Royale,Western"
"Sniper Elite 5: Conqueror Mission, Weapon and Skin Pack",41100.0,Mixed,"Action,Adventure,Gore,Violent"
"Warhammer 40,000: Inquisitor - Prophecy",25350.0,Mostly Positive,"Action,Warhammer 40K,Adventure,RPG,Hack and Slash,Indie,Action RPG,Games Workshop,Multiplayer,Violent,Sci-fi,Online Co-Op,Isometric,Story Rich,Open World,Aliens,Dark,Sexual Content,Demons,Destruction"
LEGO® City Undercover,225420.00000000006,Very Positive,"LEGO,Open World,Action,Adventure,Co-op,Comedy,Multiplayer,Family Friendly,Funny,Singleplayer,Sandbox,Local Co-Op,Crime,Exploration,Racing,Split Screen,Controller,Local Multiplayer,Memes,Online Co-Op"
ScourgeBringer,28050.0,Very Positive,"Indie,Action,Adventure,Roguelite,Pixel Graphics,Action Roguelike,Roguelike,Roguevania,Platformer,2D,Metroidvania,Singleplayer,Bullet Hell,Difficult,Procedural Generation,Great Soundtrack,Replay Value,Female Protagonist,Perma Death,Fast-Paced"
Warhammer: Vermintide 2 - Collector's Edition Upgrade,94770.0,Mixed,"Action,Indie,Gore,Violent,Co-op,Dark Fantasy,Action RPG,Hack and Slash,Multiplayer,Fantasy,First-Person,Online Co-Op,PvE,Singleplayer,Replay Value,Games Workshop,Tactical,FPS,Moddable,Adventure"
DARK SOULS™ III - The Ringed City™,194870.0,Very Positive,"Dark Fantasy,Great Soundtrack,Action,Atmospheric,Difficult,RPG,Co-op,Action RPG,Story Rich,Lore-Rich,Souls-like,Exploration,PvP,Open World,Singleplayer,Third Person,Adventure,Multiplayer,Dark,Fantasy"
LEGO® Pirates of the Caribbean: The Video Game,225420.00000000006,Very Positive,"LEGO,Adventure,Action,Pirates,Local Co-Op,Family Friendly,Multiplayer,Singleplayer,Funny,Co-op,Comedy,Open World,Controller,Online Co-Op,Atmospheric"
Burnout™ Paradise Remastered,260100.00000000006,Mixed,"Racing,Action,Arcade,Multiplayer,Adventure,Driving,Automobile Sim,Destruction,Third Person,Co-op,Open World,Singleplayer,First-Person,Combat Racing,Remake,Great Soundtrack"
Selfloss,108150.0,Positive,"Adventure,Action,Dark Fantasy,Dark,Atmospheric,Emotional,Puzzle Platformer,Exploration,Action-Adventure,Puzzle,Post-apocalyptic,Lore-Rich,Relaxing,Story Rich,Stylized,Fantasy,Magic,Singleplayer,Metroidvania,Medieval"
Aliens: Dark Descent - Lethe Recon Pack,31349.999999999996,Very Positive,"Strategy,Action,Adventure,Violent,Aliens,Story Rich,Space,Survival Horror,Singleplayer"
LEGO® Batman™ 3: Beyond Gotham,225420.00000000006,Very Positive,"LEGO,Adventure,Action,Open World,Multiplayer,Superhero,Local Co-Op,Funny,Space,Co-op,Comedy,Family Friendly,Third Person,Singleplayer,Puzzle,Controller,Comic Book,Sandbox,Split Screen,Online Co-Op"
Strike Force Heroes,122849.99999999999,Very Positive,"Action,Shooter,2D,Arena Shooter,Character Customization,Multiplayer,Singleplayer,Nostalgia,Remake,Story Rich,Indie,Combat,Dark Humor,2D Platformer,Military,Tactical,Co-op,RPG,Soundtrack,Drama"
Hellsplit: Arena,127350.0,Very Positive,"VR,Action,Gore,RPG,Swordplay,Dark Fantasy,Medieval,Fantasy,First-Person,Horror,Violent,Singleplayer,Sandbox,Souls-like,FPS,Funny,Zombies,Moddable,Action RPG,Physics"
Yakuza 5 Remastered,260100.00000000006,Very Positive,"Action,Adventure,Beat 'em up,Open World,Crime,RPG,Action RPG,Drama,Third Person,Story Rich,Comedy,Singleplayer,Funny,Violent,JRPG,Combat,Sexual Content,Great Soundtrack,Anime,Rhythm"
Furi - Onnamusha,29850.0,Mostly Positive,"Action,Difficult,Fast-Paced,Bullet Hell,Controller,Female Protagonist,Singleplayer,Replay Value,Story Rich,Indie,Third Person,Sci-fi,Shoot 'Em Up,Violent,Beat 'em up,Boss Rush"
Castle Crashers - Pink Knight Pack,8910.0,Overwhelmingly Positive,"Action,Indie,Casual,RPG,Adventure,Cute,Funny,2D"
Prince of Persia®,13050.0,Mostly Positive,"Action,Adventure,Parkour,Platformer,Third Person,Singleplayer,Fantasy,Exploration,Story Rich,Atmospheric,Open World,Hack and Slash,Great Soundtrack,Relaxing,Beautiful,3D Platformer,Controller,Action-Adventure,Romance,Comedy"
Trine Enchanted Edition,29610.0,Overwhelmingly Positive,"Puzzle Platformer,Beautiful,Fantasy,Platformer,Physics,Action,Local Co-Op,Adventure,Puzzle,Great Soundtrack,Indie,Co-op,Online Co-Op,Singleplayer,Multiplayer,Atmospheric,Casual,Local Multiplayer,2D,Female Protagonist"
Hitman: Contracts,76570.0,Very Positive,"Stealth,Action,Assassin,Singleplayer,Third Person,Atmospheric,Classic,Great Soundtrack,Dark,Shooter,Difficult,Puzzle,Third-Person Shooter,Crime,First-Person,Sandbox,Gore,Violent,Psychological Horror,Open World"
Tom Clancy’s Ghost Recon® Breakpoint Year 1 Pass,260100.00000000006,Very Positive,"Action,Adventure"
Prince of Persia: The Two Thrones™,13050.0,Mostly Positive,"Action,Adventure,Platformer,Parkour,Third Person,Singleplayer,Hack and Slash,Fantasy,Time Manipulation,Time Travel,Story Rich,Stealth,Classic,Atmospheric,Great Soundtrack,3D Platformer"
FINAL FANTASY XII THE ZODIAC AGE,225420.00000000006,Very Positive,"RPG,JRPG,Fantasy,Singleplayer,Story Rich,Great Soundtrack,Open World,Adventure,Exploration,Classic,Action,Third Person,Party-Based RPG,Real-Time with Pause,Turn-Based,Anime,Atmospheric,Remake,Strategy,Female Protagonist"
Resident Evil,225420.00000000006,Very Positive,"Survival Horror,Zombies,Horror,Classic,Remake,Atmospheric,Singleplayer,Puzzle,Survival,Adventure,Third Person,Action,Cult Classic,Female Protagonist,Story Rich,Difficult,Gore,Shooter,Great Soundtrack,Third-Person Shooter"
Touhou Blooming Chaos 2,50250.0,Very Positive,"Adventure,Action,Indie,RPG,Faith,Bullet Hell,Anime,Pixel Graphics,Shoot 'Em Up,Roguelike,Early Access,Female Protagonist,Roguelite"
Deadside,127350.0,Mostly Positive,"Survival,FPS,Post-apocalyptic,Open World Survival Craft,PvP,Open World,Multiplayer,Third-Person Shooter,Shooter,Base Building,First-Person,Action,Realistic,Co-op,Crafting,Adventure,Massively Multiplayer,Third Person,Online Co-Op,Looter Shooter"
Call of Duty®: Black Ops Escalation Content Pack,89910.0,Mixed,"Action,Zombies,FPS,Shooter"
IL-2 Sturmovik: Battle of Normandy,260100.00000000006,Mostly Positive,"Simulation,Action,Flight,Realistic,Atmospheric,Military,Jet,VR"
Torchlight II,35910.0,Very Positive,"RPG,Action RPG,Hack and Slash,Loot,Dungeon Crawler,Co-op,Fantasy,Online Co-Op,Multiplayer,Action,Adventure,Singleplayer,Indie,Moddable,Character Customization,Isometric,Replay Value,Steampunk,Atmospheric,Cartoon"
Hunt: Showdown 1896 - Through the Bone Briar,62850.00000000001,Mostly Positive,"Action,Gore,Violent,Horror,Perma Death,Shooter,FPS,First-Person,Multiplayer,Survival Horror,Team-Based,Survival"
Icarus: Pet Companions Pack,109350.0,Mostly Positive,"Simulation,Action,Adventure"
War Thunder - F-4S Phantom II Pack,260100.00000000006,Mixed,"Action,Massively Multiplayer,Simulation,Free to Play"
Seed of the Dead: Charm Song,122849.99999999999,Mostly Positive,"Action,Violent,Gore,Sexual Content"
