Periode,Data_Inflasi
1970-01-01 00:00:00.000000205,167
1970-01-01 00:00:00.000000226,147
1970-01-01 00:00:00.000000248,150
1970-01-01 00:00:00.000000007,170
1970-01-01 00:00:00.000000117,160
1970-01-01 00:00:00.000000139,135
1970-01-01 00:00:00.000000183,111
1970-01-01 00:00:00.000000029,105
1970-01-01 00:00:00.000000161,88
1970-01-01 00:00:00.000000073,101
1970-01-01 00:00:00.000000095,99
1970-01-01 00:00:00.000000051,56
1970-01-01 00:00:00.000000204,44
1970-01-01 00:00:00.000000225,48
1970-01-01 00:00:00.000000247,59
1970-01-01 00:00:00.000000006,55
1970-01-01 00:00:00.000000116,53
1970-01-01 00:00:00.000000138,98
1970-01-01 00:00:00.000000182,156
1970-01-01 00:00:00.000000028,195
1970-01-01 00:00:00.000000160,204
1970-01-01 00:00:00.000000072,214
1970-01-01 00:00:00.000000094,221
1970-01-01 00:00:00.000000050,20
1970-01-01 00:00:00.000000203,21
1970-01-01 00:00:00.000000224,22
1970-01-01 00:00:00.000000246,25
1970-01-01 00:00:00.000000005,23
1970-01-01 00:00:00.000000115,24
1970-01-01 00:00:00.000000137,19
1970-01-01 00:00:00.000000181,18
1970-01-01 00:00:00.000000027,219
1970-01-01 00:00:00.000000159,206
1970-01-01 00:00:00.000000071,198
1970-01-01 00:00:00.000000093,197
1970-01-01 00:00:00.000000049,175
1970-01-01 00:00:00.000000202,180
1970-01-01 00:00:00.000000223,184
1970-01-01 00:00:00.000000245,185
1970-01-01 00:00:00.000000004,173
1970-01-01 00:00:00.000000114,157
1970-01-01 00:00:00.000000136,149
1970-01-01 00:00:00.000000180,155
1970-01-01 00:00:00.000000026,165
1970-01-01 00:00:00.000000158,174
1970-01-01 00:00:00.000000070,166
1970-01-01 00:00:00.000000092,163
1970-01-01 00:00:00.000000048,176
1970-01-01 00:00:00.000000201,138
1970-01-01 00:00:00.000000222,165
1970-01-01 00:00:00.000000244,26
1970-01-01 00:00:00.000000003,27
1970-01-01 00:00:00.000000113,28
1970-01-01 00:00:00.000000135,30
1970-01-01 00:00:00.000000179,31
1970-01-01 00:00:00.000000025,29
1970-01-01 00:00:00.000000157,32
1970-01-01 00:00:00.000000069,36
1970-01-01 00:00:00.000000091,33
1970-01-01 00:00:00.000000047,34
1970-01-01 00:00:00.000000200,37
1970-01-01 00:00:00.000000221,35
1970-01-01 00:00:00.000000243,220
1970-01-01 00:00:00.000000002,209
1970-01-01 00:00:00.000000112,203
1970-01-01 00:00:00.000000134,199
1970-01-01 00:00:00.000000178,198
1970-01-01 00:00:00.000000024,205
1970-01-01 00:00:00.000000156,218
1970-01-01 00:00:00.000000068,189
1970-01-01 00:00:00.000000090,196
1970-01-01 00:00:00.000000046,169
1970-01-01 00:00:00.000000199,159
1970-01-01 00:00:00.000000220,160
1970-01-01 00:00:00.000000242,164
1970-01-01 00:00:00.000000001,178
1970-01-01 00:00:00.000000111,192
1970-01-01 00:00:00.000000133,182
1970-01-01 00:00:00.000000177,171
1970-01-01 00:00:00.000000023,152
1970-01-01 00:00:00.000000155,136
1970-01-01 00:00:00.000000067,126
1970-01-01 00:00:00.000000089,130
1970-01-01 00:00:00.000000045,137
1970-01-01 00:00:00.000000198,144
1970-01-01 00:00:00.000000219,172
1970-01-01 00:00:00.000000241,167
1970-01-01 00:00:00.000000000,173
1970-01-01 00:00:00.000000110,164
1970-01-01 00:00:00.000000132,187
1970-01-01 00:00:00.000000176,189
1970-01-01 00:00:00.000000022,201
1970-01-01 00:00:00.000000154,190
1970-01-01 00:00:00.000000066,200
1970-01-01 00:00:00.000000088,216
1970-01-01 00:00:00.000000044,0
